廠商代號,廠商名稱,地址,聯絡人,電話,項目,類型,內容,保固起始日,掛載料號,待確認註記
1100001,格瑪,,,,,其他,"(1)故障請落實填寫原因；(2)需整新商品一律給主管做確認後確認是否整新",,,"這兩則像是格瑪整體的通用提示，非特定型號規則"
1100001,格瑪,,,,配件,報廢條件,EDR-168天線一年內送修，超過一年報廢，人為剪線廠商無法維修故報廢,,,"型號:EDR-168天線，需比對系統料號"
1100001,格瑪,,,,報廢標準,報廢條件,S168-3G已無料，無法維修，全數報廢,,,"型號:S168-3G，需比對系統料號"
1100001,格瑪,,,,報廢標準,送修規則,"S168-4G送修後若廠商檢測無法維修即報廢處理；2024/10/11更新：超過4年直接報廢",,,"型號:S168-4G，需比對系統料號"
1100001,格瑪,,,,報廢標準,報廢條件,MDT168-3G：8/26後不維修,,,"型號:MDT168-3G，需比對系統料號；「8/26」年份不明"
1100001,格瑪,,,,報廢標準,送修規則,"EDR-168 & EDR-168(P)：目前最新規則為2025/11/6更正版「EDR-168暫不報廢，先集中有需求再送修」，並於2026/1/5補充「送修廠商數量最高500台，廠商低於500台時再送」",,,"型號:EDR-168 & EDR-168(P)，需比對系統料號；此列有修正歷史（2025/5/27原版「超過3年不送修直接報廢」已被2025/11/6紅字更正取代），已取最新版本"
1100001,格瑪,,,,報廢標準,報廢條件,RFID418：2025/5/27超過1年不送修直接報廢,,,"型號:RFID418，需比對系統料號"
1100001,格瑪,,,,,其他,AI Fuel Sensor II：需改V1G20版,,,"型號:AI Fuel Sensor II，需比對系統料號；語意較像韌體升級提醒，非典型送修/保固/報廢規則"
1100001,格瑪,,,,,保固說明,無線溫度感應器：保固三年，過保直接報廢,,,"型號:無線溫度感應器，需比對系統料號"
1100001,格瑪,,,,保固,保固說明,全品一年,,,"項目欄僅寫「保固」，未指明適用型號，需人工確認涵蓋範圍"
1100001,格瑪,,,,,報廢條件,EVM系列：回廠直接報廢，不送修,,,"型號:EVM系列，需比對系統料號"
1100001,格瑪,,,,,報廢條件,"RFD-416車載刷卡讀卡機：2026/3/27不再送修，V02.14版之前的直接報廢，V02.14版有故障原因直接報廢",,,"型號:RFD-416車載刷卡讀卡機，需比對系統料號"
1100001,格瑪,,,,配件,其他,原始表格此區另有嵌入照片（接頭鏽蝕示意圖），未轉入,,,"此列另有嵌入照片，未轉入"
1100019,昇銳,,,,送修次數(保固內),送修規則,"車機超過三次送修紀錄(1年內)，告知主管後再做後續處理(保固內可換新品)",,,"型號:車機，需比對系統料號"
1100019,昇銳,,,,整新,送修規則,"需整新商品經主管確認後，製作新條碼貼紙一併送修給廠商貼製處理",,,
1100019,昇銳,,,,HS前檔鏡頭,送修規則,"HS前檔鏡頭，一律送修不報廢，不管年限多久",,,"型號:HS前檔鏡頭，需比對系統料號；此則紅字與「硬碟發報異常」項目共用相鄰儲存格，原始歸屬不完全確定"
1100019,昇銳,,,,硬碟發報異常,送修規則,"不用附硬碟回廠，如有特殊狀況，個案討論後在寄硬碟一起測試",,,
1100019,昇銳,,,,車機,送修規則,非AHD系列的都不送修,,,"型號:AHD系列，需比對系統料號"
1100019,昇銳,,,,HS AHD 4G-DVR(8AHD),保固說明,2021/7/30後到貨的，保固二年,,,"型號:HS AHD 4G-DVR(8AHD)，需比對系統料號"
1100019,昇銳,,,,HS AHD 4G-DVR(8AHD),報廢條件,超過三年且維修三次直接報廢,,,"型號:HS AHD 4G-DVR(8AHD)，需比對系統料號"
1100019,昇銳,,,,HS AHD DVR(8AHD),保固說明,保固一年，沒有談二年,,,"型號:HS AHD DVR(8AHD)，需比對系統料號"
1100019,昇銳,,,,HS AHD倒車攝影機,保固說明,2021/8/18之後到貨的，保固二年,,,"型號:HS AHD倒車攝影機，需比對系統料號；此列有修正歷史，最新為下一則2025/8/21「不再送修」"
1100019,昇銳,,,,HS AHD倒車攝影機,報廢條件,"最新規則（2025/8/21紅字）：不再送修（先前2025/1/6曾規定「超過一年報廢」，已被此則取代）",,,"型號:HS AHD倒車攝影機，需比對系統料號；有修正歷史，已取最新版本"
1100019,昇銳,,,,HS AHD前窄角,保固說明,2021/8/5之後到貨的，保固二年,,,"型號:HS AHD前窄角，需比對系統料號"
1100019,昇銳,,,,HS AHD前窄角,報廢條件,"過保直接報廢（2025/10/15備註：後續會回來大量）",,,"型號:HS AHD前窄角，需比對系統料號"
1100019,昇銳,,,,HS倒車攝影機,保固說明,2021/7/6之後到貨的，保固二年,,,"型號:HS倒車攝影機，需比對系統料號；此列有修正歷史，最新為下一則2025/8/21「不再送修」"
1100019,昇銳,,,,HS倒車攝影機,報廢條件,"最新規則（2025/8/21紅字）：不再送修（先前2025/1/6曾規定「改超過一年報廢」，已被此則取代）",,,"型號:HS倒車攝影機，需比對系統料號；有修正歷史，已取最新版本"
1100019,昇銳,,,,鏡頭,保固說明,出貨後3個月內發生起霧/水氣的現象，會換新,,,"型號:鏡頭，需比對系統料號"
1100019,昇銳,,,,鏡頭,送修規則,3個月以上則是出保固更換乾燥包以及全機功能檢測,,,"型號:鏡頭，需比對系統料號"
1100019,昇銳,,,,HS鏡頭,保固說明,2024年起HS鏡頭均無料可整新，保固內為24個月,,,"型號:HS鏡頭，需比對系統料號"
1100019,昇銳,,,,HS鏡頭,送修規則,"保固內：可自行整新，請送修，落實填寫故障原因並送廠商檢測+更換乾燥包；過於髒污者需回廠同時落實登打紀錄與客收費，請Lala確認外觀後判定是否可進行報廢，或送修更換零件",,,"型號:HS鏡頭，需比對系統料號"
